gene,symbol,p.value,adj.p
ENSG00000174640,SLCO2A1,3.083E-09,5.06321E-05
ENSG00000169432,SCN9A,2.343E-08,0.000173427
ENSG00000165092,ALDH1A1,3.168E-08,0.000173427
ENSG00000188848,BEND4,5.165E-08,0.000212062
ENSG00000197121,PGAP1,2.321E-07,0.000762356
ENSG00000145022,TCTA,2.895E-07,0.000772702
ENSG00000168913,ENHO,4.009E-07,0.000772702
ENSG00000198771,RCSD1,4.493E-07,0.000772702
ENSG00000125967,NECAB3,5.814E-07,0.000772702
ENSG00000101412,E2F1,6.563E-07,0.000772702
ENSG00000253304,TMEM200B,7.116E-07,0.000772702
ENSG00000172987,HPSE2,7.128E-07,0.000772702
ENSG00000169836,TACR3,7.359E-07,0.000772702
ENSG00000168453,HR,7.367E-07,0.000772702
ENSG00000116191,RALGPS2,7.752E-07,0.000772702
ENSG00000135299,ANKRD6,7.994E-07,0.000772702
ENSG00000185477,GPRIN3,8.299E-07,0.000772702
ENSG00000090581,GNPTG,8.469E-07,0.000772702
ENSG00000128606,LRRC17,0.000001559,0.00134755
ENSG00000151718,WWC2,0.00000174,0.001428801
ENSG00000080298,RFX3,0.000002322,0.001815915
ENSG00000112964,GHR,0.000002468,0.001842362
ENSG00000114529,C3orf52,0.000002771,0.001978614
ENSG00000196998,WDR45,0.000003217,0.002124479
ENSG00000157911,PEX10,0.000003234,0.002124479
ENSG00000127328,RAB3IP,0.000003487,0.002202577
ENSG00000197360,ZNF98,0.000003777,0.002297395
ENSG00000023445,BIRC3,0.000004201,0.002464037
ENSG00000111913,FAM65B,0.000004485,0.002539902
ENSG00000141433,ADCYAP1,0.000005114,0.00263988
ENSG00000131477,RAMP2,0.000005296,0.00263988
ENSG00000196233,LCOR,0.00000541,0.00263988
ENSG00000105419,MEIS3,0.000005466,0.00263988
ENSG00000134198,TSPAN2,0.000005544,0.00263988
ENSG00000214944,ARHGEF28,0.000005626,0.00263988
ENSG00000166603,MC4R,0.000005872,0.002678774
ENSG00000215897,ZBTB8B,0.000006238,0.002758632
ENSG00000260800,.,0.000006383,0.002758632
ENSG00000080573,COL5A3,0.00000841,0.003541473
ENSG00000058063,ATP11B,0.00000881,0.003617166
ENSG00000148660,CAMK2G,0.000009599,0.003844985
ENSG00000100592,DAAM1,0.0000105,0.00410575
ENSG00000135447,PPP1R1A,0.00001127,0.00426998
ENSG00000167244,IGF2,0.00001149,0.00426998
ENSG00000125843,AP5S1,0.0000117,0.00426998
ENSG00000069667,RORA,0.00001214,0.004334244
ENSG00000104327,CALB1,0.00001256,0.004388785
ENSG00000196557,CACNA1H,0.0000131,0.00448211
ENSG00000260337,.,0.00001361,0.00451961
ENSG00000167434,CA4,0.00001376,0.00451961
ENSG00000072954,TMEM38A,0.00001421,0.004528958
ENSG00000171448,ZBTB26,0.00001434,0.004528958
ENSG00000124203,ZNF831,0.00001578,0.004884322
ENSG00000110172,CHORDC1,0.00001606,0.004884322
ENSG00000141744,PNMT,0.00001748,0.005219528
ENSG00000155966,AFF2,0.00001915,0.005616079
ENSG00000105711,SCN1B,0.00002194,0.006321414
ENSG00000114933,INO80D,0.00002237,0.006334181
ENSG00000247317,.,0.00002521,0.007017353
ENSG00000163602,RYBP,0.00002607,0.007135794
ENSG00000166947,EPB42,0.00002673,0.007196505
ENSG00000009694,TENM1,0.00002794,0.007400945
ENSG00000002330,BAD,0.00002934,0.007648426
ENSG00000168566,SNRNP48,0.00003067,0.007728763
ENSG00000140403,DNAJA4,0.00003079,0.007728763
ENSG00000106080,FKBP14,0.00003106,0.007728763
ENSG00000172458,IL17D,0.00003168,0.007765383
ENSG00000171159,C9orf16,0.00003269,0.007775117
ENSG00000136002,ARHGEF4,0.00003302,0.007775117
ENSG00000138623,SEMA7A,0.00003314,0.007775117
ENSG00000119314,PTBP3,0.00003574,0.008060236
ENSG00000185105,MYADML2,0.00003592,0.008060236
ENSG00000118579,MED28,0.00003599,0.008060236
ENSG00000136986,DERL1,0.00003686,0.008060236
ENSG00000260523,.,0.00003724,0.008060236
ENSG00000212673,.,0.0000373,0.008060236
ENSG00000183808,RBM12B,0.00003961,0.008384045
ENSG00000186297,GABRA5,0.00003987,0.008384045
ENSG00000173258,ZNF483,0.00004033,0.008384045
ENSG00000143493,INTS7,0.00004126,0.008470162
ENSG00000180440,SERTM1,0.00004249,0.008614979
ENSG00000130511,SSBP4,0.00004307,0.008626081
ENSG00000260081,.,0.00004531,0.008965375
ENSG00000019991,HGF,0.00004662,0.009097969
ENSG00000166128,RAB8B,0.0000475,0.009097969
ENSG00000111404,RERGL,0.00004772,0.009097969
ENSG00000100003,SEC14L2,0.00004828,0.009097969
ENSG00000113805,CNTN3,0.00004875,0.009097969
ENSG00000181104,F2R,0.00005002,0.009220602
ENSG00000169955,ZNF747,0.00005053,0.009220602
ENSG00000173950,XXYLT1,0.00005141,0.009278093
ENSG00000090060,PAPOLA,0.00005208,0.009296846
ENSG00000164164,OTUD4,0.00005323,0.00939996
ENSG00000163815,CLEC3B,0.00005502,0.009443225
ENSG00000099785,MARCH2,0.00005505,0.009443225
ENSG00000179331,RAB39A,0.00005527,0.009443225
ENSG00000203706,SERTAD4-AS1,0.00005578,0.009443225
ENSG00000242265,PEG10,0.00005707,0.009443225
ENSG00000131730,CKMT2,0.00005877,0.009443225
ENSG00000120833,SOCS2,0.00005898,0.009443225
ENSG00000138767,CNOT6L,0.00005934,0.009443225
ENSG00000162302,RPS6KA4,0.00005967,0.009443225
ENSG00000259834,.,0.00005979,0.009443225
ENSG00000117682,DHDDS,0.0000598,0.009443225
ENSG00000149054,ZNF215,0.00006402,0.009937464
ENSG00000173273,TNKS,0.00006414,0.009937464
ENSG00000129317,PUS7L,0.00006639,0.010144935
ENSG00000113083,LOX,0.00006687,0.010144935
ENSG00000186193,SAPCD2,0.0000674,0.010144935
ENSG00000196932,TMEM26,0.00006795,0.010144935
ENSG00000025796,SEC63,0.00006979,0.010325776
ENSG00000113300,CNOT6,0.00007232,0.010547054
ENSG00000171451,DSEL,0.00007257,0.010547054
ENSG00000105251,SHD,0.00007612,0.010932006
ENSG00000186063,AIDA,0.00007655,0.010932006
ENSG00000163637,PRICKLE2,0.00007835,0.011092604
ENSG00000178149,DALRD3,0.0000806,0.011313622
ENSG00000175287,PHYHD1,0.00008248,0.011479399
ENSG00000137133,HINT2,0.00008342,0.011502831
ENSG00000115020,PIKFYVE,0.00008465,0.011502831
ENSG00000052795,FNIP2,0.00008478,0.011502831
ENSG00000165879,FRAT1,0.00008545,0.011502831
ENSG00000184611,KCNH7,0.00008623,0.011513458
ENSG00000180957,PITPNB,0.00008959,0.011794342
ENSG00000063322,MED29,0.00008977,0.011794342
ENSG00000003137,CYP26B1,0.00009124,0.011892337
ENSG00000068078,FGFR3,0.00009547,0.012345699
ENSG00000125503,PPP1R12C,0.00009639,0.012352897
ENSG00000096746,HNRNPH3,0.00009703,0.012352897
ENSG00000139154,AEBP2,0.0001017,0.012762301
ENSG00000057593,F7,0.0001018,0.012762301
ENSG00000178162,.,0.0001038,0.01291445
ENSG00000176022,B3GALT6,0.0001073,0.013249533
ENSG00000157450,RNF111,0.0001098,0.013452369
ENSG00000139915,MDGA2,0.0001111,0.013452369
ENSG00000184207,PGP,0.0001114,0.013452369
ENSG00000172667,ZMAT3,0.0001133,0.013507322
ENSG00000153989,NUS1,0.0001135,0.013507322
ENSG00000237517,DGCR5,0.0001146,0.013540114
ENSG00000170955,PRKCDBP,0.0001171,0.013736666
ENSG00000178741,COX5A,0.0001195,0.013918784
ENSG00000080224,EPHA6,0.0001225,0.01416346
ENSG00000269337,.,0.0001247,0.01416346
ENSG00000145920,CPLX2,0.0001249,0.01416346
ENSG00000225978,HAR1A,0.0001274,0.01416346
ENSG00000174403,C20orf166-AS1,0.0001277,0.01416346
ENSG00000136205,TNS3,0.000128,0.01416346
ENSG00000251602,.,0.0001283,0.01416346
ENSG00000183340,JRKL,0.0001285,0.01416346
ENSG00000132622,HSPA12B,0.0001302,0.014236688
ENSG00000129103,SUMF2,0.0001314,0.014236688
ENSG00000152467,ZSCAN1,0.0001331,0.014236688
ENSG00000169213,RAB3B,0.0001334,0.014236688
ENSG00000198160,MIER1,0.0001363,0.014236688
ENSG00000108641,B9D1,0.0001363,0.014236688
ENSG00000145451,GLRA3,0.0001374,0.014236688
ENSG00000215375,MYL5,0.0001376,0.014236688
ENSG00000154928,EPHB1,0.0001378,0.014236688
ENSG00000106299,WASL,0.0001383,0.014236688
ENSG00000010361,FUZ,0.0001387,0.014236688
ENSG00000103260,METRN,0.0001432,0.014588085
ENSG00000162623,TYW3,0.0001439,0.014588085
ENSG00000138018,EPT1,0.0001451,0.014619493
ENSG00000230551,.,0.0001466,0.01468056
ENSG00000175556,LONRF3,0.0001522,0.015126968
ENSG00000162241,SLC25A45,0.0001529,0.015126968
ENSG00000167103,PIP5KL1,0.0001559,0.015331411
ENSG00000198380,GFPT1,0.0001586,0.015398978
ENSG00000102531,FNDC3A,0.0001591,0.015398978
ENSG00000130653,PNPLA7,0.0001594,0.015398978
ENSG00000235863,B3GALT4,0.0001609,0.015400082
ENSG00000115073,ACTR1B,0.0001627,0.015400082
ENSG00000105048,TNNT1,0.0001629,0.015400082
ENSG00000198146,ZNF770,0.0001634,0.015400082
ENSG00000173452,TMEM196,0.0001641,0.015400082
ENSG00000125462,C1orf61,0.0001653,0.015424556
ENSG00000228801,.,0.0001675,0.015491133
ENSG00000143322,ABL2,0.0001679,0.015491133
ENSG00000144152,FBLN7,0.0001718,0.015674841
ENSG00000171724,VAT1L,0.0001718,0.015674841
ENSG00000166337,TAF10,0.0001755,0.015839669
ENSG00000110660,SLC35F2,0.0001759,0.015839669
ENSG00000104522,TSTA3,0.0001765,0.015839669
ENSG00000142634,EFHD2,0.0001808,0.016059031
ENSG00000173406,DAB1,0.0001809,0.016059031
ENSG00000168939,SPRY3,0.000182,0.016069817
ENSG00000017427,IGF1,0.0001857,0.016277588
ENSG00000215021,PHB2,0.0001873,0.016277588
ENSG00000197713,RPE,0.0001879,0.016277588
ENSG00000141441,FAM59A,0.0001887,0.016277588
ENSG00000205309,NT5M,0.0001902,0.016277588
ENSG00000119812,FAM98A,0.0001903,0.016277588
ENSG00000161281,COX7A1,0.0001923,0.016363435
ENSG00000158806,NPM2,0.0001961,0.016600775
ENSG00000132561,MATN2,0.000198,0.016675662
ENSG00000151233,GXYLT1,0.0001998,0.016741405
ENSG00000167614,TTYH1,0.0002103,0.017531761
ENSG00000254615,.,0.0002144,0.017726937
ENSG00000012061,ERCC1,0.0002148,0.017726937
ENSG00000072415,MPP5,0.0002215,0.018188473
ENSG00000165795,NDRG2,0.0002242,0.01831859
ENSG00000147231,CXorf57,0.0002287,0.018593763
ENSG00000127564,PKMYT1,0.0002358,0.01905068
ENSG00000160226,C21orf2,0.0002372,0.01905068
ENSG00000140945,CDH13,0.0002378,0.01905068
ENSG00000140104,C14orf79,0.0002395,0.019093731
ENSG00000182600,C2orf82,0.0002434,0.019310909
ENSG00000040608,RTN4R,0.0002467,0.019448289
ENSG00000122566,HNRNPA2B1,0.0002475,0.019448289
ENSG00000112146,FBXO9,0.0002514,0.019521679
ENSG00000174032,SLC25A30,0.0002517,0.019521679
ENSG00000184602,SNN,0.000252,0.019521679
ENSG00000035862,TIMP2,0.0002557,0.01971531
ENSG00000226757,.,0.000261,0.020019711
ENSG00000184924,PTRHD1,0.000264,0.020019711
ENSG00000129235,TXNDC17,0.0002653,0.020019711
ENSG00000178814,OPLAH,0.0002687,0.020019711
ENSG00000238098,ABCA17P,0.0002687,0.020019711
ENSG00000167705,RILP,0.0002689,0.020019711
ENSG00000248487,ABHD14A,0.0002693,0.020019711
ENSG00000115226,FNDC4,0.0002694,0.020019711
ENSG00000198586,TLK1,0.0002707,0.020025703
ENSG00000205704,LINC00634,0.0002783,0.020495609
ENSG00000149761,NUDT22,0.0002802,0.020543413
ENSG00000167779,IGFBP6,0.0002859,0.02071603
ENSG00000100865,CINP,0.0002863,0.02071603
ENSG00000063176,SPHK2,0.000287,0.02071603
ENSG00000173566,NUDT18,0.0002876,0.02071603
ENSG00000167740,CYB5D2,0.0002902,0.020812029
ENSG00000010319,SEMA3G,0.0002925,0.020885772
ENSG00000205791,LOH12CR2,0.0002963,0.020935816
ENSG00000101400,SNTA1,0.0002966,0.020935816
ENSG00000269176,.,0.0002971,0.020935816
ENSG00000056586,RC3H2,0.0002983,0.020935816
ENSG00000120868,APAF1,0.0003003,0.020986497
ENSG00000103740,ACSBG1,0.0003038,0.021072719
ENSG00000170153,RNF150,0.0003041,0.021072719
ENSG00000152484,USP12,0.0003116,0.021501709
ENSG00000175105,ZNF654,0.0003155,0.021656554
ENSG00000236576,.,0.0003165,0.021656554
ENSG00000014914,MTMR11,0.0003178,0.021656554
ENSG00000176340,COX8A,0.0003204,0.021741889
ENSG00000124104,SNX21,0.0003217,0.021741889
ENSG00000101189,MRGBP,0.0003243,0.021827782
ENSG00000157593,SLC35B2,0.0003284,0.021990798
ENSG00000138629,UBL7,0.0003294,0.021990798
ENSG00000260578,.,0.0003401,0.022581625
ENSG00000151611,MMAA,0.000341,0.022581625
ENSG00000170075,GPR37L1,0.0003476,0.022926244
ENSG00000128059,PPAT,0.0003516,0.023089956
ENSG00000236279,CLEC2L,0.0003531,0.023089956
ENSG00000118729,CASQ2,0.0003543,0.023089956
ENSG00000162971,TYW5,0.0003565,0.0231415
ENSG00000128881,TTBK2,0.0003617,0.023254201
ENSG00000132164,SLC6A11,0.000362,0.023254201
ENSG00000108256,NUFIP2,0.0003628,0.023254201
ENSG00000107537,PHYH,0.0003639,0.023254201
ENSG00000132563,REEP2,0.0003672,0.02328794
ENSG00000178163,ZNF518B,0.0003695,0.02328794
ENSG00000010379,SLC6A13,0.0003696,0.02328794
ENSG00000080824,HSP90AA1,0.0003701,0.02328794
ENSG00000144550,CPNE9,0.0003719,0.023311884
ENSG00000135870,RC3H1,0.0003734,0.023316913
ENSG00000071073,MGAT4A,0.0003753,0.023346788
ENSG00000269138,ZNF209P,0.0003774,0.023388831
ENSG00000159784,FAM131B,0.0003818,0.023484275
ENSG00000105669,COPE,0.0003818,0.023484275
ENSG00000255248,.,0.0003838,0.023519207
ENSG00000055332,EIF2AK2,0.0003872,0.023571835
ENSG00000113916,BCL6,0.0003878,0.023571835
ENSG00000176273,SLC35G1,0.000389,0.023571835
ENSG00000172889,EGFL7,0.0003904,0.023571835
ENSG00000196372,ASB13,0.0003948,0.023705462
ENSG00000083799,CYLD,0.0003955,0.023705462
ENSG00000081692,JMJD4,0.0004085,0.024393158
ENSG00000260214,.,0.0004127,0.024393158
ENSG00000168936,TMEM129,0.0004127,0.024393158
ENSG00000257742,.,0.0004133,0.024393158
ENSG00000163481,RNF25,0.0004144,0.024393158
ENSG00000172757,CFL1,0.0004175,0.024482543
ENSG00000143776,CDC42BPA,0.0004189,0.024482543
ENSG00000166750,SLFN5,0.0004211,0.024523849
ENSG00000227799,.,0.0004245,0.024611369
ENSG00000123496,IL13RA2,0.0004256,0.024611369
ENSG00000170522,ELOVL6,0.0004296,0.024668954
ENSG00000102225,CDK16,0.0004296,0.024668954
ENSG00000145911,N4BP3,0.0004409,0.025199041
ENSG00000153914,SREK1,0.0004419,0.025199041
ENSG00000105939,ZC3HAV1,0.0004486,0.025492588
ENSG00000234661,CHL1-AS1,0.0004553,0.02578411
ENSG00000135469,COQ10A,0.000457,0.025791447
ENSG00000168993,CPLX1,0.0004602,0.02581718
ENSG00000205795,CYS1,0.0004606,0.02581718
ENSG00000235711,ANKRD34C,0.0004739,0.0264261
ENSG00000078596,ITM2A,0.0004763,0.0264261
ENSG00000114416,FXR1,0.0004773,0.0264261
ENSG00000176533,GNG7,0.0004779,0.0264261
ENSG00000134709,HOOK1,0.000483,0.026536966
ENSG00000187778,MCRS1,0.0004864,0.026536966
ENSG00000103460,TOX3,0.0004869,0.026536966
ENSG00000162076,FLYWCH2,0.0004871,0.026536966
ENSG00000153814,JAZF1,0.0004885,0.026536966
ENSG00000163947,ARHGEF3,0.0004896,0.026536966
ENSG00000162433,AK4,0.0004941,0.026692777
ENSG00000196628,TCF4,0.0004974,0.026782951
ENSG00000149357,LAMTOR1,0.0005009,0.02688327
ENSG00000073614,KDM5A,0.000508,0.027100607
ENSG00000182809,CRIP2,0.0005086,0.027100607
ENSG00000263878,DLGAP1-AS4,0.0005099,0.027100607
ENSG00000169926,KLF13,0.0005133,0.027193309
ENSG00000176909,MAMSTR,0.0005178,0.027303238
ENSG00000151458,ANKRD50,0.0005187,0.027303238
ENSG00000172795,DCP2,0.0005314,0.02758961
ENSG00000110011,DNAJC4,0.0005315,0.02758961
ENSG00000142609,C1orf222,0.0005318,0.02758961
ENSG00000082898,XPO1,0.0005327,0.02758961
ENSG00000170703,TTLL6,0.0005338,0.02758961
ENSG00000107949,BCCIP,0.0005351,0.02758961
ENSG00000120913,PDLIM2,0.0005359,0.02758961
ENSG00000236790,LINC00299,0.0005413,0.027780531
ENSG00000059915,PSD,0.0005452,0.027858086
ENSG00000153827,TRIP12,0.0005464,0.027858086
ENSG00000169100,SLC25A6,0.0005479,0.027858086
ENSG00000172748,ZNF596,0.0005516,0.027959651
ENSG00000058673,ZC3H11A,0.0005558,0.027984191
ENSG00000047662,FAM184B,0.0005583,0.027984191
ENSG00000164066,INTU,0.0005585,0.027984191
ENSG00000096717,SIRT1,0.0005589,0.027984191
ENSG00000173542,MOB1B,0.0005629,0.028098805
ENSG00000120903,CHRNA2,0.0005694,0.028291222
ENSG00000155657,TTN,0.0005702,0.028291222
ENSG00000033011,ALG1,0.0005721,0.028299995
ENSG00000149091,DGKZ,0.0005775,0.028334563
ENSG00000180155,LYNX1,0.0005781,0.028334563
ENSG00000145029,NICN1,0.0005792,0.028334563
ENSG00000156504,FAM122B,0.0005797,0.028334563
ENSG00000160678,S100A1,0.0005864,0.028576995
ENSG00000121989,ACVR2A,0.0005906,0.028660315
ENSG00000145907,G3BP1,0.0005916,0.028660315
ENSG00000078177,N4BP2,0.0006068,0.029254965
ENSG00000159176,CSRP1,0.0006094,0.029254965
ENSG00000251432,.,0.0006095,0.029254965
ENSG00000133460,SLC2A11,0.000611,0.029254965
ENSG00000138041,SMEK2,0.0006132,0.029274952
ENSG00000163793,DNAJC5G,0.0006153,0.029290063
ENSG00000111605,CPSF6,0.0006176,0.02931458
ENSG00000006016,CRLF1,0.0006252,0.029509637
ENSG00000187109,NAP1L1,0.0006264,0.029509637
ENSG00000180592,SKIDA1,0.0006271,0.029509637
ENSG00000177352,CCDC71,0.0006356,0.029705625
ENSG00000165716,FAM69B,0.0006371,0.029705625
ENSG00000013563,DNASE1L1,0.0006375,0.029705625
ENSG00000141699,FAM134C,0.0006385,0.029705625
ENSG00000185339,TCN2,0.0006431,0.029774205
ENSG00000112996,MRPS30,0.0006436,0.029774205
ENSG00000109794,FAM149A,0.0006561,0.030254102
ENSG00000179542,SLITRK4,0.0006585,0.030254102
ENSG00000171612,SLC25A33,0.0006595,0.030254102
ENSG00000196323,ZBTB44,0.0006616,0.030265896
ENSG00000108774,RAB5C,0.0006659,0.030375764
ENSG00000131650,KREMEN2,0.0006683,0.030375764
ENSG00000160345,C9orf116,0.0006706,0.030375764
ENSG00000100033,PRODH,0.0006714,0.030375764
ENSG00000151923,TIAL1,0.0006761,0.030492787
ENSG00000174365,SNHG11,0.0006777,0.030492787
ENSG00000171798,KNDC1,0.0006882,0.030837753
ENSG00000162576,MXRA8,0.0006899,0.030837753
ENSG00000164463,CREBRF,0.000691,0.030837753
ENSG00000261292,.,0.0007027,0.031274911
ENSG00000205643,CDPF1,0.0007066,0.031363491
ENSG00000075618,FSCN1,0.000712,0.031499491
ENSG00000101940,WDR13,0.0007135,0.031499491
ENSG00000185736,ADARB2,0.0007202,0.031710039
ENSG00000131771,PPP1R1B,0.0007222,0.031713076
ENSG00000105393,BABAM1,0.0007375,0.032298567
ENSG00000151353,TMEM18,0.0007462,0.032516673
ENSG00000160703,NLRX1,0.0007488,0.032516673
ENSG00000177030,DEAF1,0.0007503,0.032516673
ENSG00000133027,PEMT,0.0007504,0.032516673
ENSG00000205929,C21orf62,0.0007629,0.032858764
ENSG00000169018,FEM1B,0.0007634,0.032858764
ENSG00000101363,MANBAL,0.0007682,0.032858764
ENSG00000153187,HNRNPU,0.0007682,0.032858764
ENSG00000119953,SMNDC1,0.0007714,0.032858764
ENSG00000257176,.,0.0007716,0.032858764
ENSG00000165915,SLC39A13,0.0007723,0.032858764
ENSG00000011201,KAL1,0.0007759,0.03292663
ENSG00000177465,ACOT4,0.0007809,0.033014874
ENSG00000113068,PFDN1,0.000782,0.033014874
ENSG00000153561,RMND5A,0.0007881,0.033161019
ENSG00000160408,ST6GALNAC6,0.0007895,0.033161019
ENSG00000173805,HAP1,0.0007923,0.033193732
ENSG00000126882,FAM78A,0.0007975,0.033326571
ENSG00000154930,ACSS1,0.0008005,0.033367034
ENSG00000183780,SLC35F3,0.0008036,0.03341145
ENSG00000140798,ABCC12,0.0008092,0.033559322
ENSG00000198265,HELZ,0.0008175,0.033818142
ENSG00000177225,PDDC1,0.0008236,0.033828923
ENSG00000128581,RABL5,0.0008245,0.033828923
ENSG00000128973,CLN6,0.0008253,0.033828923
ENSG00000042445,RETSAT,0.000826,0.033828923
ENSG00000163704,PRRT3,0.0008293,0.033879587
ENSG00000172053,QARS,0.0008352,0.03396244
ENSG00000112245,PTP4A1,0.0008355,0.03396244
ENSG00000144120,TMEM177,0.0008383,0.03396244
ENSG00000175445,LPL,0.0008396,0.03396244
ENSG00000086159,AQP6,0.0008419,0.033971803
ENSG00000144426,NBEAL1,0.0008514,0.03425998
ENSG00000189238,.,0.0008534,0.03425998
ENSG00000013810,TACC3,0.0008553,0.03425998
ENSG00000152932,RAB3C,0.0008579,0.034280515
ENSG00000188542,DUSP28,0.0008631,0.034404591
ENSG00000230333,.,0.0008688,0.034539746
ENSG00000151655,ITIH2,0.0008708,0.034539746
ENSG00000106648,GALNTL5,0.0008728,0.034539746
ENSG00000002587,HS3ST1,0.0008774,0.034638318
ENSG00000113657,DPYSL3,0.0008798,0.034649773
ENSG00000090539,CHRD,0.0008821,0.034657245
ENSG00000110880,CORO1C,0.0008889,0.034841061
ENSG00000152601,MBNL1,0.0008926,0.034841608
ENSG00000173627,APOBEC4,0.0008965,0.034841608
ENSG00000197912,SPG7,0.0008965,0.034841608
ENSG00000127903,ZNF835,0.0008974,0.034841608
ENSG00000158615,PPP1R15B,0.0009044,0.035030569
ENSG00000126861,OMG,0.0009109,0.035162954
ENSG00000101938,CHRDL1,0.0009121,0.035162954
ENSG00000260409,.,0.0009186,0.035330604
ENSG00000235098,ANKRD65,0.0009245,0.035474447
ENSG00000266878,.,0.0009296,0.035543792
ENSG00000130176,CNN1,0.000932,0.035543792
ENSG00000166181,API5,0.0009328,0.035543792
ENSG00000143416,SELENBP1,0.0009407,0.035761843
ENSG00000122884,P4HA1,0.0009469,0.035914408
ENSG00000225953,SATB2-AS1,0.0009604,0.03634251
ENSG00000235944,ZNF815P,0.0009664,0.036485488
ENSG00000176435,CLEC14A,0.0009692,0.036507274
ENSG00000166159,LRTM2,0.0009797,0.036794269
ENSG00000168813,ZNF507,0.0009813,0.036794269
ENSG00000197562,RAB40C,0.0009859,0.036882541
ENSG00000184731,FAM110C,0.0009939,0.037097318
ENSG00000161813,LARP4,0.000998,0.037144962
ENSG00000124225,PMEPA1,0.0009997,0.037144962
ENSG00000144040,SFXN5,0.001004,0.037220524
ENSG00000146066,HIGD2A,0.001012,0.037432604
ENSG00000115274,INO80B,0.001029,0.037975881
ENSG00000198743,SLC5A3,0.001034,0.03806315
ENSG00000114439,BBX,0.001036,0.03806315
ENSG00000169116,PARM1,0.001046,0.038344772
ENSG00000103642,LACTB,0.001054,0.038368144
ENSG00000125629,INSIG2,0.001056,0.038368144
ENSG00000121210,KIAA0922,0.001057,0.038368144
ENSG00000182700,IGIP,0.001058,0.038368144
ENSG00000107854,TNKS2,0.001059,0.038368144
ENSG00000206140,TMEM191C,0.001065,0.038368144
ENSG00000147852,VLDLR,0.001067,0.038368144
ENSG00000095574,IKZF5,0.001069,0.038368144
ENSG00000213753,RPL23AP79,0.001069,0.038368144
ENSG00000133107,TRPC4,0.00107,0.038368144
ENSG00000204278,TMEM235,0.001076,0.038439082
ENSG00000174165,ZDHHC24,0.001077,0.038439082
ENSG00000251396,.,0.001079,0.038439082
ENSG00000027847,B4GALT7,0.001089,0.038711357
ENSG00000171262,FAM98B,0.001097,0.038911514
ENSG00000149557,FEZ1,0.001108,0.039216991
ENSG00000165983,PTER,0.001114,0.039344563
ENSG00000163320,CGGBP1,0.001117,0.039351899
ENSG00000166206,GABRB3,0.001119,0.039351899
ENSG00000100320,RBFOX2,0.001123,0.03939419
ENSG00000136040,PLXNC1,0.001125,0.03939419
ENSG00000073670,ADAM11,0.001129,0.039442977
ENSG00000135441,BLOC1S1,0.001133,0.039442977
ENSG00000101126,ADNP,0.001134,0.039442977
ENSG00000187231,SESTD1,0.001136,0.039442977
ENSG00000170616,SCRT1,0.001141,0.039518924
ENSG00000124209,RAB22A,0.001143,0.039518924
ENSG00000117592,PRDX6,0.001147,0.03957391
ENSG00000117595,IRF6,0.00115,0.039594235
ENSG00000205363,C15orf59,0.001159,0.039737489
ENSG00000159348,CYB5R1,0.001159,0.039737489
ENSG00000261597,.,0.001167,0.039928419
ENSG00000175073,VCPIP1,0.001178,0.040220985
ENSG00000070495,JMJD6,0.001183,0.040292453
ENSG00000169760,NLGN1,0.001185,0.040292453
ENSG00000186448,ZNF197,0.001188,0.040311
ENSG00000104979,C19orf53,0.001194,0.04033246
ENSG00000197619,ZNF615,0.001196,0.04033246
ENSG00000186715,MST1L,0.001196,0.04033246
ENSG00000101746,NOL4,0.0012,0.040384426
ENSG00000167515,TRAPPC2L,0.001203,0.040402595
ENSG00000167114,SLC27A4,0.00121,0.040539055
ENSG00000164134,NAA15,0.001212,0.040539055
ENSG00000181350,FAM211A,0.001219,0.040690319
ENSG00000176248,ANAPC2,0.001234,0.041107469
ENSG00000010295,IFFO1,0.001237,0.04112399
ENSG00000183048,SLC25A10,0.00124,0.041140444
ENSG00000152242,C18orf25,0.001245,0.041223054
ENSG00000184575,XPOT,0.001248,0.041239243
ENSG00000213762,ZNF134,0.001255,0.041370162
ENSG00000129538,RNASE1,0.001257,0.041370162
ENSG00000104047,DTWD1,0.001269,0.041681574
ENSG00000108061,SHOC2,0.001273,0.041729499
ENSG00000184451,CCR10,0.001281,0.041908094
ENSG00000198730,CTR9,0.001284,0.041922728
ENSG00000261455,.,0.001288,0.041948294
ENSG00000127870,RNF6,0.00129,0.041948294
ENSG00000163611,SPICE1,0.001294,0.041948294
ENSG00000113356,POLR3G,0.001295,0.041948294
ENSG00000175906,ARL4D,0.001299,0.041995033
ENSG00000152954,NRSN1,0.001312,0.042313376
ENSG00000126934,MAP2K2,0.001314,0.042313376
ENSG00000122958,VPS26A,0.001326,0.042495311
ENSG00000140474,ULK3,0.001327,0.042495311
ENSG00000164040,PGRMC2,0.001328,0.042495311
ENSG00000117308,GALE,0.00133,0.042495311
ENSG00000129255,MPDU1,0.001351,0.043082472
ENSG00000135823,STX6,0.001369,0.043498757
ENSG00000182054,IDH2,0.001371,0.043498757
ENSG00000130635,COL5A1,0.001372,0.043498757
ENSG00000114021,NIT2,0.001376,0.043541518
ENSG00000151746,BICD1,0.001383,0.043555295
ENSG00000122679,RAMP3,0.001385,0.043555295
ENSG00000167468,GPX4,0.00139,0.043555295
ENSG00000168806,LCMT2,0.001391,0.043555295
ENSG00000197959,DNM3,0.001391,0.043555295
ENSG00000135744,AGT,0.001393,0.043555295
